Domain,Type,Priority,Action,Title,Contact Form,Emails,Opportunities,Notes
yellowpages.com.sg,directory,high,"Submit business listing","Radware Captcha Page",Yes,"","","Title: Radware Captcha Page, Contact form: Yes"
sgbiz.com,directory,high,"Submit business listing","sgbiz.com&nbsp;-&nbsp;This website is for sale!&nbsp;-&nbsp;sgbiz Resources and Information.",Yes,"","","Title: sgbiz.com&nbsp;-&nbsp;This website is for sale!&nbsp;-&nbsp;sgbiz Resources and Information., Contact form: Yes"
sgdirectory.com,directory,high,"Submit business listing","Singapore Guide | Singapore Directory of Things",Yes,"","guest_posting, partnership","Title: Singapore Guide | Singapore Directory of Things, Contact form: Yes"
yellowpages.com.my,directory,high,"Submit business listing","yellowpages.com.my",Yes,"","","Title: yellowpages.com.my, Contact form: Yes"
malaysiabusinessdirectory.com,directory,high,"Submit business listing","",No,"","","Title: N/A, Contact form: No"
indodirectory.com,directory,high,"Submit business listing","",No,"","","Title: N/A, Contact form: No"
yellowpages.vn,directory,high,"Submit business listing","Trang Vàng - Những Trang Vàng Doanh Nghiệp Việt Nam",Yes,"","","Title: Trang Vàng - Những Trang Vàng Doanh Nghiệp Việt Nam, Contact form: Yes"
vietnam-business.com,directory,high,"Submit business listing","",No,"","","Title: N/A, Contact form: No"
phildirectory.com,directory,high,"Submit business listing","",No,"","","Title: N/A, Contact form: No"
straitstimes.com,publication,high,"Pitch guest post","The Straits Times - Breaking news, Singapore news, Asia and world news &amp; multimedia",Yes,"stics@sph.com.sg","guest_posting, partnership","Title: The Straits Times - Breaking news, Singapore news, Asia and world news &amp; multimedia, Contact form: Yes"
todayonline.com,publication,high,"Pitch guest post","Latest news in Singapore and around the world – TODAY",Yes,"","partnership","Title: Latest news in Singapore and around the world – TODAY, Contact form: Yes"
channelnewsasia.com,publication,high,"Pitch guest post","Breaking News and Analysis on Asia and the World | Real-Time Coverage out of Asia and Singapore - CNA",Yes,"","partnership","Title: Breaking News and Analysis on Asia and the World | Real-Time Coverage out of Asia and Singapore - CNA, Contact form: Yes"
business-times.com.sg,publication,high,"Pitch guest post","The Business Times - Get the Latest Business &amp; Financial News",Yes,"btnews@sph.com.sg, businesstimes-keywords@sph.com.sg","guest_posting, partnership","Title: The Business Times - Get the Latest Business &amp; Financial News, Contact form: Yes"
thestar.com.my,publication,high,"Pitch guest post","The Star | Malaysia News: National, Regional and World News",Yes,"","","Title: The Star | Malaysia News: National, Regional and World News, Contact form: Yes"
my.news.yahoo.com,publication,high,"Pitch guest post","Latest news and current events updates | Yahoo News Malaysia",Yes,"","resource_page, guest_posting, partnership","Title: Latest news and current events updates | Yahoo News Malaysia, Contact form: Yes"
bangkokpost.com,publication,high,"Pitch guest post","Bangkok Post - Bangkok Post - The world’s window in Thailand | Breaking news, Thailand news, Latest news, World news",Yes,"webmaster@bangkokpost.co.th","partnership","Title: Bangkok Post - Bangkok Post - The world’s window in Thailand | Breaking news, Thailand news, Latest news, World news, Contact form: Yes"
nationthailand.com,publication,high,"Pitch guest post","Nation Thailand news website, thai news, thailand news, Bangkok thailand, aec, breaking news : Nation Thailand",Yes,"","guest_posting, partnership","Title: Nation Thailand news website, thai news, thailand news, Bangkok thailand, aec, breaking news : Nation Thailand, Contact form: Yes"
thaipbs.or.th,publication,high,"Pitch guest post","Thai PBS - สื่อสาธารณะ คุณค่าที่ยึดโยงกับประชาชน",Yes,"thaipbs@2x.png, altv-dark@2x.png, theactive@2x.png, theactive-dark@2x.png, kids-dark@2x.png, podcast@2x.png, world@2x.png, world-dark@2x.png, local@2x.png, local-dark@2x.png, verify-dark@2x.png, verify@2x.png, verify-icon@2x.png","","Title: Thai PBS - สื่อสาธารณะ คุณค่าที่ยึดโยงกับประชาชน, Contact form: Yes"
kompas.com,publication,high,"Pitch guest post","Berita Terkini Hari Ini, Kabar Akurat Terpercaya - Kompas.com",Yes,"","","Title: Berita Terkini Hari Ini, Kabar Akurat Terpercaya - Kompas.com, Contact form: Yes"
detik.com,publication,high,"Pitch guest post","detikcom - Informasi Berita Terkini dan Terbaru Hari Ini",Yes,"","partnership","Title: detikcom - Informasi Berita Terkini dan Terbaru Hari Ini, Contact form: Yes"
